question_id,level,section,subsection,question_number,audio_file,question_text,option_A,option_B,option_C,option_D,correct_answer,explanation
N5_MG_01_001,N5,言語知識（文字・語彙）,もんだい1_漢字読み,1,,"＿のことばはひらがなでどうかきますか。
きょうは<u>天気</u>がいいですね。",てんき,でんき,けんき,げんき,A,「天気」の読み方は「てんき」です。
N5_MG_01_002,N5,言語知識（文字・語彙）,もんだい1_漢字読み,2,,"＿のことばはひらがなでどうかきますか。
この<u>本</u>はおもしろいです。",ぽん,ほん,ぼん,はん,B,「本」の読み方は「ほん」です。
N5_MG_01_003,N5,言語知識（文字・語彙）,もんだい1_漢字読み,3,,"＿のことばはひらがなでどうかきますか。
<u>東</u>のそらがあかるいです。",ひがし,みなみ,にし,きた,A,「東」の読み方は「ひがし」です。
N5_MG_01_004,N5,言語知識（文字・語彙）,もんだい1_漢字読み,4,,"＿のことばはひらがなでどうかきますか。
えきまで<u>歩いて</u>いきます。",はしって,あるいて,およいで,のって,B,「歩いて」の読み方は「あるいて」です。
N5_MG_01_005,N5,言語知識（文字・語彙）,もんだい1_漢字読み,5,,"＿のことばはひらがなでどうかきますか。
<u>毎日</u>にほんごをべんきょうします。",まいあさ,まいばん,まいとし,まいにち,D,「毎日」の読み方は「まいにち」です。
N5_MG_01_006,N5,言語知識（文字・語彙）,もんだい1_漢字読み,6,,"＿のことばはひらがなでどうかきますか。
この<u>花</u>はきれいですね。",やま,うみ,かわ,はな,D,「花」の読み方は「はな」です。
N5_MG_01_007,N5,言語知識（文字・語彙）,もんだい1_漢字読み,7,,"＿のことばはひらがなでどうかきますか。
<u>九時</u>にがっこうへいきます。",ここのじ,くじ,きゅうじ,きゅうじん,B,「九時」の読み方は「くじ」です。
N5_MG_01_008,N5,言語知識（文字・語彙）,もんだい1_漢字読み,8,,"＿のことばはひらがなでどうかきますか。
<u>白い</u>くつをかいました。",くろい,あかい,しろい,あおい,C,「白い」の読み方は「しろい」です。
N5_MG_01_009,N5,言語知識（文字・語彙）,もんだい1_漢字読み,9,,"＿のことばはひらがなでどうかきますか。
この<u>道</u>はながいです。",みち,もち,まち,むち,A,「道」の読み方は「みち」です。
N5_MG_01_010,N5,言語知識（文字・語彙）,もんだい1_漢字読み,10,,"＿のことばはひらがなでどうかきますか。
<u>店</u>でりんごをかいました。",えき,はし,みせ,いえ,C,「店」の読み方は「みせ」です。
N5_MG_01_011,N5,言語知識（文字・語彙）,もんだい1_漢字読み,11,,"＿のことばはひらがなでどうかきますか。
やまださんは<u>先生</u>です。",せんせえ,がくせい,せいせん,せんせい,D,「先生」の読み方は「せんせい」です。
N5_MG_01_012,N5,言語知識（文字・語彙）,もんだい1_漢字読み,12,,"＿のことばはひらがなでどうかきますか。
<u>午後</u>からあめがふります。",ここ,ごこ,ごぜん,ごご,D,「午後」の読み方は「ごご」です。
N5_MG_02_001,N5,言語知識（文字・語彙）,もんだい2_表記,13,,"＿のことばはどうかきますか。
わたしは<u>にほんご</u>をべんきょうしています。",二本後,二本語,日本語,日本後,C,「にほんご」は「日本語」と書きます。
N5_MG_02_002,N5,言語知識（文字・語彙）,もんだい2_表記,14,,"＿のことばはどうかきますか。
この<u>えいが</u>はおもしろいです。",英画,英化,映化,映画,D,「えいが」は「映画」と書きます。
N5_MG_02_003,N5,言語知識（文字・語彙）,もんだい2_表記,15,,"＿のことばはどうかきますか。
あの<u>たてもの</u>はびょういんです。",建物,立物,達物,健物,A,「たてもの」は「建物」と書きます。
N5_MG_02_004,N5,言語知識（文字・語彙）,もんだい2_表記,16,,"＿のことばはどうかきますか。
きのう<u>てがみ</u>をかきました。",出神,手紙,出紙,手神,B,「てがみ」は「手紙」と書きます。
N5_MG_02_005,N5,言語知識（文字・語彙）,もんだい2_表記,17,,"＿のことばはどうかきますか。
<u>すいようび</u>にテストがあります。",水陽日,火曜日,木曜日,水曜日,D,「すいようび」は「水曜日」と書きます。
N5_MG_02_006,N5,言語知識（文字・語彙）,もんだい2_表記,18,,"＿のことばはどうかきますか。
あの<u>てれび</u>はあたらしいです。",デレビ,デレヒ,テレビ,テレヒ,C,「てれび」は「テレビ」と書きます。
N5_MG_02_007,N5,言語知識（文字・語彙）,もんだい2_表記,19,,"＿のことばはどうかきますか。
<u>いもうと</u>はだいがくせいです。",兄,弟,姉,妹,D,「いもうと」は「妹」と書きます。
N5_MG_02_008,N5,言語知識（文字・語彙）,もんだい2_表記,20,,"＿のことばはどうかきますか。
まいあさ<u>しんぶん</u>をよみます。",新聞,新文,申聞,申文,A,「しんぶん」は「新聞」と書きます。
N5_MG_03_001,N5,言語知識（文字・語彙）,もんだい3_文脈規定,21,,"（　）になにがはいりますか。
あたまが（　）ですから、きょうはやすみます。",いたい,からい,つらい,おもい,A,文脈から「いたい」が適切です。
N5_MG_03_002,N5,言語知識（文字・語彙）,もんだい3_文脈規定,22,,"（　）になにがはいりますか。
このへやは（　）ですから、でんきをつけましょう。",たかい,くらい,ひろい,せまい,B,文脈から「くらい」が適切です。
N5_MG_03_003,N5,言語知識（文字・語彙）,もんだい3_文脈規定,23,,"（　）になにがはいりますか。
まいにち（　）でかいしゃへいきます。",でんわ,でんち,でんき,でんしゃ,D,文脈から「でんしゃ」が適切です。
N5_MG_03_004,N5,言語知識（文字・語彙）,もんだい3_文脈規定,24,,"（　）になにがはいりますか。
このもんだいは（　）ですから、わかりません。",たのしい,うれしい,むずかしい,やさしい,C,文脈から「むずかしい」が適切です。
N5_MG_03_005,N5,言語知識（文字・語彙）,もんだい3_文脈規定,25,,"（　）になにがはいりますか。
わたしのしゅみは（　）をきくことです。",しゃしん,おんがく,えいが,りょうり,B,文脈から「おんがく」が適切です。
N5_MG_03_006,N5,言語知識（文字・語彙）,もんだい3_文脈規定,26,,"（　）になにがはいりますか。
きのうは（　）がふりましたから、かさをもっていきました。",あめ,かぜ,くも,はれ,A,「かさをもっていきました」から「あめ」が正解です。雨が降るからかさが必要です。
N5_MG_03_007,N5,言語知識（文字・語彙）,もんだい3_文脈規定,27,,"（　）になにがはいりますか。
このスイカは（　）ですね。ひとりでたべられません。",おおきい,あかい,まるい,あまい,A,「ひとりでたべられません」から「おおきい」が正解です。大きいから一人で食べられません。
N5_MG_03_008,N5,言語知識（文字・語彙）,もんだい3_文脈規定,28,,"（　）になにがはいりますか。
まいあさ、かがみをみながら（　）をあらいます。",ふく,あし,くつ,かお,D,「かがみをみながら」から「かお」が正解です。鏡を見ながら顔を洗います。
N5_MG_03_009,N5,言語知識（文字・語彙）,もんだい3_文脈規定,29,,"（　）になにがはいりますか。
あたまがいたいですから、（　）へいきます。",びょういん,ぎんこう,ゆうびんきょく,としょかん,A,「あたまがいたい」から「びょういん」が正解です。頭が痛いときは病院に行きます。
N5_MG_03_010,N5,言語知識（文字・語彙）,もんだい3_文脈規定,30,,"（　）になにがはいりますか。
（　）がわるいですから、あしたまたきてください。",てんき,きもち,あじ,におい,A,文脈から「てんき」が適切です。
N5_MG_04_001,N5,言語知識（文字・語彙）,もんだい4_言い換え類義,31,,"＿のぶんとだいたいおなじいみのぶんがあります。
<u>きょうはあついです。</u>",きょうはさむいです。,きょうはあたたかいです。,きょうはすずしいです。,きょうはつめたいです。,B,「あつい」と「あたたかい」は暖かさを表す類義語です。
N5_MG_04_002,N5,言語知識（文字・語彙）,もんだい4_言い換え類義,32,,"＿のぶんとだいたいおなじいみのぶんがあります。
<u>このしごとはらくです。</u>",このしごとはかんたんです。,このしごとはながいです。,このしごとはむずかしいです。,このしごとはたいへんです。,A,「このしごとはらくです。」と同じ意味は「このしごとはかんたんです。」です。
N5_MG_04_003,N5,言語知識（文字・語彙）,もんだい4_言い換え類義,33,,"＿のぶんとだいたいおなじいみのぶんがあります。
<u>やまださんはわたしのともだちです。</u>",わたしとやまださんはともだちです。,やまださんはわたしのせんせいです。,やまださんはわたしのかぞくです。,やまださんはわたしのいしゃです。,A,「やまださんはわたしのともだちです。」と同じ意味は「わたしとやまださんはともだちです。」です。
N5_MG_04_004,N5,言語知識（文字・語彙）,もんだい4_言い換え類義,34,,"＿のぶんとだいたいおなじいみのぶんがあります。
<u>このみせはやすいです。</u>",このみせのものはたかいです。,このみせはちいさいです。,このみせのものはたかくないです。,このみせはおおきいです。,C,「このみせはやすいです。」と同じ意味は「このみせのものはたかくないです。」です。
N5_MG_04_005,N5,言語知識（文字・語彙）,もんだい4_言い換え類義,35,,"＿のぶんとだいたいおなじいみのぶんがあります。
<u>あしたはにちようびです。</u>",あしたはげつようびです。,あしたはかようびです。,あしたはやすみのひです。,あしたはすいようびです。,C,「あしたはにちようびです。」と同じ意味は「あしたはやすみのひです。」です。
N5_GR_01_001,N5,言語知識（文法）・読解,もんだい1_文の文法1,1,,"（　）になにを入れますか。
わたしはまいあさ6じ（　）おきます。",を,で,が,に,D,正しい助詞/表現は「に」です。
N5_GR_01_002,N5,言語知識（文法）・読解,もんだい1_文の文法1,2,,"（　）になにを入れますか。
きのうともだち（　）えいがをみました。",に,と,で,が,B,正しい助詞/表現は「と」です。
N5_GR_01_003,N5,言語知識（文法）・読解,もんだい1_文の文法1,3,,"（　）になにを入れますか。
このほん（　）よんでください。",を,で,に,が,A,正しい助詞/表現は「を」です。
N5_GR_01_004,N5,言語知識（文法）・読解,もんだい1_文の文法1,4,,"（　）になにを入れますか。
えき（　）でんしゃにのります。",を,で,が,に,B,正しい助詞/表現は「で」です。
N5_GR_01_005,N5,言語知識（文法）・読解,もんだい1_文の文法1,5,,"（　）になにを入れますか。
やまださん（　）でんわばんごうをおしえてください。",に,が,を,の,D,正しい助詞/表現は「の」です。
N5_GR_01_006,N5,言語知識（文法）・読解,もんだい1_文の文法1,6,,"（　）になにを入れますか。
にほんご（　）えいごがはなせます。",で,を,と,に,C,正しい助詞/表現は「と」です。
N5_GR_01_007,N5,言語知識（文法）・読解,もんだい1_文の文法1,7,,"（　）になにを入れますか。
このケーキはとても（　）です。",おいしくて,おいしく,おいしい,おいしいの,C,正しい助詞/表現は「おいしい」です。
N5_GR_01_008,N5,言語知識（文法）・読解,もんだい1_文の文法1,8,,"（　）になにを入れますか。
きのう（　）あめでしたが、きょうははれです。",に,が,を,は,D,正しい助詞/表現は「は」です。
N5_GR_01_009,N5,言語知識（文法）・読解,もんだい1_文の文法1,9,,"（　）になにを入れますか。
あのひと（　）だれですか。",に,は,を,が,B,正しい助詞/表現は「は」です。
N5_GR_01_010,N5,言語知識（文法）・読解,もんだい1_文の文法1,10,,"（　）になにを入れますか。
にほん（　）いきたいです。",を,に,が,で,B,正しい助詞/表現は「に」です。
N5_GR_01_011,N5,言語知識（文法）・読解,もんだい1_文の文法1,11,,"（　）になにを入れますか。
この（　）はあたらしいですか。",くるま,くるまが,くるまを,くるまの,A,正しい助詞/表現は「くるま」です。
N5_GR_01_012,N5,言語知識（文法）・読解,もんだい1_文の文法1,12,,"（　）になにを入れますか。
わたしはまいにちにほんご（　）べんきょうします。",が,に,で,を,D,正しい助詞/表現は「を」です。
N5_GR_01_013,N5,言語知識（文法）・読解,もんだい1_文の文法1,13,,"（　）になにを入れますか。
せんしゅう（　）やすみでした。",が,を,は,に,C,正しい助詞/表現は「は」です。
N5_GR_01_014,N5,言語知識（文法）・読解,もんだい1_文の文法1,14,,"（　）になにを入れますか。
コーヒー（　）のみませんか。",が,を,に,で,B,正しい助詞/表現は「を」です。
N5_GR_01_015,N5,言語知識（文法）・読解,もんだい1_文の文法1,15,,"（　）になにを入れますか。
あした（　）あめがふりますか。",が,を,に,は,D,正しい助詞/表現は「は」です。
N5_GR_01_016,N5,言語知識（文法）・読解,もんだい1_文の文法1,16,,"（　）になにを入れますか。
わたしのへやはひろく（　）です。",なくて,ありません,じゃない,ない,D,正しい助詞/表現は「ない」です。
N5_GR_02_001,N5,言語知識（文法）・読解,もんだい2_文の組み立て,17,,"★に入るものはどれですか。
＿　＿　★　＿　かぎを　かけます。
1 いもうとは　2 でる　3 うちを　4 まえに",1,2,3,4,B,並び:1-3-2-4 ★=2(でる)「いもうとは うちを でる まえに かぎを かけます」【パターン: 〜まえに】
N5_GR_02_002,N5,言語知識（文法）・読解,もんだい2_文の組み立て,18,,"★に入るものはどれですか。
＿　＿　★　＿　さんぽします。
1 あとで　2 ちちは　3 たべた　4 ばんごはんを",1,2,3,4,C,並び:2-4-3-1 ★=3(たべた)「ちちは ばんごはんを たべた あとで さんぽします」【パターン: 〜たあとで】
N5_GR_02_003,N5,言語知識（文法）・読解,もんだい2_文の組み立て,19,,"★に入るものはどれですか。
あには　＿　＿　★　＿　すきです。
1 の　2 にほん　3 が　4 おんがく",1,2,3,4,D,並び:2-1-4-3 ★=4(おんがく)「あには にほん の おんがく が すきです」【パターン: AのBがすき】
N5_GR_02_004,N5,言語知識（文法）・読解,もんだい2_文の組み立て,20,,"★に入るものはどれですか。
あねは　＿　＿　★　＿　できます。
1 こと　2 かんじを　3 が　4 かく",1,2,3,4,A,並び:2-4-1-3 ★=1(こと)「あねは かんじを かく こと が できます」【パターン: 〜ことが＋できる】
N5_GR_02_005,N5,言語知識（文法）・読解,もんだい2_文の組み立て,21,,"★に入るものはどれですか。
せんしゅう　＿　＿　★　＿　てがみをもらいました。
1 がいこく　2 ともだち　3 から　4 の",1,2,3,4,B,並び:1-4-2-3 ★=2(ともだち)「せんしゅう がいこく の ともだち から てがみをもらいました」【パターン: AのBから】
N5_GR_03_001,N5,言語知識（文法）・読解,もんだい3_文章の文法,22,,"【文章】
たなかさんは毎日日本語を勉強しています。
たなかさんは朝、家で30分勉強します。（22）、学校でも勉強します。
たなかさんの学校は9時（23）始まります。
学校では先生の話を（24）ながらノートを書きます。
たなかさんは日本語が（25）なりました。
来年は日本（26）行きたいと思っています。

（22）に入るものは何ですか。",だから,しかし,それから,でも,C,（22）には「それから」が入ります。
N5_GR_03_002,N5,言語知識（文法）・読解,もんだい3_文章の文法,23,,"【文章】
たなかさんは毎日日本語を勉強しています。
たなかさんは朝、家で30分勉強します。（22）、学校でも勉強します。
たなかさんの学校は9時（23）始まります。
学校では先生の話を（24）ながらノートを書きます。
たなかさんは日本語が（25）なりました。
来年は日本（26）行きたいと思っています。

（23）に入るものは何ですか。",に,が,を,で,A,（23）には「に」が入ります。
